,Text,words
0,"The 3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods. The company produces over 60,000 products under several brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical and electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, a suburb of Saint Paul, Minnesota.3M made $32.8 billion in total sales in 2018, and ranked number 95 in the Fortune 500 list of the largest United States corporations by total revenue. As of 2018, the company had approximately 93,500 employees, and had operations in more than 70 countries.In 2016, a complaint was filed against 3M for knowingly selling defective earplugs issued to military personnel deployed to Iraq and Afghanistan. These earplugs may have caused permanent hearing damage. 3M paid a $9.1 million settlement to the U.S. government.",1127
1,"AAH is a pharmaceutical wholesaler in the United Kingdom. Originally formed in 1892 as a company selling solid fuels in South Wales, it was floated on the stock exchange in 1923. It diversified into pharmaceuticals in the 1970s, and since 1995 it has been a subsidiary of the German company Celesio AG.",302
2,"ACG is a pharmaceutical company with headquarters in Mumbai, India. The company has presence in over 100 countries.  ACG provides empty hard pharmaceutical capsules, encapsulation machinery, tablet coating systems, tablet compression systems, fluid bed equipment, tablet tooling and performance enhancers along with online and inline analytical and inspection systems. The company also provides blister packing, high barrier packaging films, carton packing machines, camera inspection systems, candy-wrapping machines and end-of-line case packers.ACG has about 4,500 employees and is one of the leading manufacturers of empty hard-shell capsules. The ACG group offers manufacturing, packaging, research and development services for the pharmaceutical industry.",760
3,"ALK-Abelló A/S (Nasdaq Copenhagen: ALK B), also commonly known as ALK, is a Denmark-based pharmaceutical company which specializes in the development and manufacture of allergy immunotherapy (AIT) products for the prevention and treatment of allergy. It is one of the world’s largest makers of allergy immunotherapy products  (also known as ‘allergy vaccines’) with 81% of its revenue coming from sales in Europe.",413
4,"ARIAD Pharmaceuticals, Inc. was an American oncology company, now part of Takeda Oncology, which was founded in 1991 by Harvey J. Berger, M.D. and headquartered in Cambridge, Massachusetts. ARIAD engaged in the discovery, development, and commercialization of medicines for cancer patients.ARIAD’s most prominent drug discoveries include Iclusig, designed for patients with all forms of Philadelphia chromosome-positive [Ph+] chronic myeloid leukemia (CML) or Ph+ acute lymphoblastic leukemia (ALL) who are resistant to or unable to tolerate other tyrosine kinase inhibitors, and brigatinib, a lung cancer drug which has completed its registration trial in ALK fusion driven non-small cell lung cancer as of June 2016 and was approved in the U.S. in April 2017.In January 2017, Takeda announced it would acquire ARIAD for $5.2 billion, expanding the company's oncology and hematology business. On February 16, 2017, Takeda Pharmaceuticals, Ltd. announced it had completed its acquisition of ARIAD and incorporated ARIAD into Takeda Oncology.",1041
5,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,132
6,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.Among its well-known products across the medical devices, diagnostics, and nutrition product divisions are Pedialyte, Similac, Ensure, Glucerna, ZonePerfect, FreeStyle Libre, i-STAT and MitraClip.",620
7,"Acadia Pharmaceuticals Inc. is a biopharmaceutical company headquartered in Sorrento Valley, San Diego, California.",115
8,"Acorda Therapeutics, Inc. is an American biotechnology company based in Ardsley, New York. The company develops therapies that improve neurological function in people with Parkinson’s disease, multiple sclerosis and other neurological disorders. Acorda Therapeutics manufactures and markets the drugs Inbrija (levodopa inhalation powder) and Ampyra (dalfampridine) in the United States.",386
9,"Actavis Generics (formerly known as Watson Pharmaceuticals and Actavis plc, prior to the acquisition of Irish-based Allergan Inc) is a global pharmaceutical company focused on acquiring, developing, manufacturing and marketing branded pharmaceuticals, generic and over-the-counter medicines, and biologic products. Actavis has a commercial presence across approximately 100 countries. The company has global headquarters in Dublin, Ireland and administrative headquarters in Parsippany-Troy Hills, New Jersey, United States.Actavis PLC markets brand products through six franchises in key therapeutic categories including: Aesthetics/Dermatology/Plastic Surgery; Neurosciences/CNS; Eye Care; Women's Health and Urology; GI and Cystic Fibrosis; and Cardiovascular Disease and Infectious Disease. The company's products include Botox, Namenda, Restasis, Linzess, Bystolic, Juvederm, Latisse, Lo Loestrin Fe, Estrace, Teflaro, Dalvance, Ozurdex, Optive, Natrelle, Viibryd, Liletta, Saphris, Enablex, Actonel, Androderm, Gelnique and others.Actavis PLC also operates the world's third-largest generics business. The company has been ranked in the top 3 in 12 global markets, the top 5 in 16 global markets, and in the top 10 in 33 global markets. Actavis also develops and out-licenses generic pharmaceutical products outside the US through its Medis third-party business, the world's largest generic pharmaceutical out-licensing business. Medis has more than 300 customers globally, and offers more than 200 products. Actavis PLC is also developing biosimilars products in oncology and other therapeutic categories, and currently has five biosimilar products in development. Actavis PLC has more than 40 manufacturing and distribution facilities around the world, with a capacity of approximately 40 billion units annually. Actavis Global Operations also included Anda Inc, the fourth-largest US generic pharmaceutical product distributor in the United States.On June 15, 2015, Actavis plc changed its name to Allergan plc, but the company's U.S. and Canadian generics business will continue to operate under the Actavis name.  In July 2015, Allergan PLC announced it would sell its Generics division of the company, including Anda Inc, to Teva Pharmaceuticals for $40.5 billion, a transaction proposed for completion by the first quarter of 2016.",2344
10,"Actelion is a pharmaceuticals and biotechnology company established in December 1997, headquartered in Allschwil near Basel, Switzerland.Actelion focuses on the manufacture of drugs that treat rare diseases and orphan diseases. Some of the drugs it has produced have been used to treat patients with symptoms related to central nervous system disorders, irregular heart conditions, immune system disorders and cancer.  One of the focuses of Actelion is treating individuals with Pulmonary Arterial Hypertension (PAH), a heart condition that leaves patients with a short life expectancy (7-9 years) even with treatment.Actelion scientists were among the first to work in the field of endothelian receptor antagonists.  Actelion was initially financed with venture capital provided through a syndicate including Atlas Venture, Sofinnova and HealthCap.Actelion develops and sells drugs in the continents of Asia, Europe and North and South America. Actelion has 29 operative affiliates around the world, including the United States, Canada, Brazil, Australia, Japan, Switzerland and a number of EU countries.  The Swiss affiliate is located in Baden, the German affiliate in Freiburg, the Austrian one in Vienna, the French one in Paris and the UK affiliate is located in London.In 2006, the company established the Actelion Endothelin Research Award program which supports selected clinical research projects.In January 2017, Johnson & Johnson announced that it would purchase the company for $30 billion. Actelion's research and development unit would also be spun off after the acquisition. The new company Idorsia was created from former Actelion drug discovery operations and early-stage clinical development assets and listed in June 2017 on the SIX Swiss Exchange.In 2018, Johnson & Johnson announced they would discontinue development of one of the phase III drugs it acquired during its purchase of Actelion.",1914
11,"Adcock Ingram is a South African pharmaceutical conglomerate listed on the Johannesburg Stock Exchange. Adcock Ingram manufactures and markets healthcare products to both the private and public sectors.  The company has self-described as ""the Glaxo of South Africa"".",266
12,"Aderis Pharmaceuticals is a privately held pharmaceutical company based in Hopkinton, Massachusetts.  It was founded in 1994 to develop and commercialize pharmaceuticals. It is best known for the development of Rotigotine, a dopamine agonist made for the treatment of Parkinson's disease.",288
13,"Cubist Pharmaceuticals was an American biopharmaceutical company that targeted pathogens like MRSA..  The company employed 638 people, mostly in Lexington, MA. On 8 December 2014, Merck & Co. acquired Cubist for $102 per share in cash ($8.4 billion).",250
14,"ACI or Advanced Chemical Industries (DSE : ACI) is one of the largest Bangladeshi conglomerates. The company operates through three reportable segments: Pharmaceuticals, Consumer Brands and Agribusiness. ACI established as the subsidiary of Imperial Chemical Industries (ICI) in 1968. It has been incorporated as ICI Bangladesh Manufacturers Limited on 24 January 1973. The company was renamed as Advanced Chemical Industries Limited (ACI Limited) on 5 May 1992. The company sold its insect control, air care and toilet care brands to SC Johnson & Son in 2015.",560
15,"ADVANZ PHARMA Corp. is a multi-national pharmaceutical company headquartered in London. It changed its name from Concordia Healthcare Corp. in November 2018. The company focuses on a number of therapy areas including endocrinology, ophthalmology, urology, anti-infectives, pain management, central nervous system disorders, oncology, haematology, cardiology and intensive care medicine. The company also focuses on acquiring legacy pharmaceutical compounds which are usually off patent. ADVANZ PHARMA is a global pharmaceutical company with its operational headquarters in London, UK, operations centre in Mumbai, India and regional hubs in Europe, Australia and the US.",670
