,text without stop words,words
0,"['The', '3M', 'Company', 'American', 'multinational', 'conglomerate', 'corporation', 'operating', 'fields', 'industry', 'worker', 'safety', 'US', 'health', 'care', 'consumer', 'goods', 'The', 'company', 'produces', '60000', 'products', 'several', 'brands', 'including', 'adhesives', 'abrasives', 'laminates', 'passive', 'fire', 'protection', 'personal', 'protective', 'equipment', 'window', 'films', 'paint', 'protection', 'films', 'dental', 'orthodontic', 'products', 'electrical', 'electronic', 'connecting', 'insulating', 'materials', 'medical', 'products', 'car-care', 'products', 'electronic', 'circuits', 'healthcare', 'software', 'optical', 'films', 'It', 'based', 'Maplewood', 'suburb', 'Saint', 'Paul', 'Minnesota3M', 'made', '$', '328', 'billion', 'total', 'sales', '2018', 'ranked', 'number', '95', 'Fortune', '500', 'list', 'largest', 'United', 'States', 'corporations', 'total', 'revenue', 'As', '2018', 'company', 'approximately', '93500', 'employees', 'operations', '70', 'countriesIn', '2016', 'complaint', 'filed', '3M', 'knowingly', 'selling', 'defective', 'earplugs', 'issued', 'military', 'personnel', 'deployed', 'Iraq', 'Afghanistan', 'These', 'earplugs', 'may', 'caused', 'permanent', 'hearing', 'damage', '3M', 'paid', '$', '91', 'million', 'settlement', 'US', 'government']",121
1,"['AAH', 'pharmaceutical', 'wholesaler', 'United', 'Kingdom', 'Originally', 'formed', '1892', 'company', 'selling', 'solid', 'fuels', 'South', 'Wales', 'floated', 'stock', 'exchange', '1923', 'It', 'diversified', 'pharmaceuticals', '1970s', 'since', '1995', 'subsidiary', 'German', 'company', 'Celesio', 'AG']",29
2,"['ACG', 'pharmaceutical', 'company', 'headquarters', 'Mumbai', 'India', 'The', 'company', 'presence', '100', 'countries', 'ACG', 'provides', 'empty', 'hard', 'pharmaceutical', 'capsules', 'encapsulation', 'machinery', 'tablet', 'coating', 'systems', 'tablet', 'compression', 'systems', 'fluid', 'bed', 'equipment', 'tablet', 'tooling', 'performance', 'enhancers', 'along', 'online', 'inline', 'analytical', 'inspection', 'systems', 'The', 'company', 'also', 'provides', 'blister', 'packing', 'high', 'barrier', 'packaging', 'films', 'carton', 'packing', 'machines', 'camera', 'inspection', 'systems', 'candy-wrapping', 'machines', 'end-of-line', 'case', 'packersACG', '4500', 'employees', 'one', 'leading', 'manufacturers', 'empty', 'hard-shell', 'capsules', 'The', 'ACG', 'group', 'offers', 'manufacturing', 'packaging', 'research', 'development', 'services', 'pharmaceutical', 'industry']",78
3,"['ALK-Abelló', 'A/S', '(', 'Nasdaq', 'Copenhagen', ':', 'ALK', 'B', ')', 'also', 'commonly', 'known', 'ALK', 'Denmark-based', 'pharmaceutical', 'company', 'specializes', 'development', 'manufacture', 'allergy', 'immunotherapy', '(', 'AIT', ')', 'products', 'prevention', 'treatment', 'allergy', 'It', 'one', 'world', '’', 'largest', 'makers', 'allergy', 'immunotherapy', 'products', '(', 'also', 'known', '‘', 'allergy', 'vaccines', '’', ')', '81', '%', 'revenue', 'coming', 'sales', 'Europe']",51
4,"['ARIAD', 'Pharmaceuticals', 'Inc', 'American', 'oncology', 'company', 'part', 'Takeda', 'Oncology', 'founded', '1991', 'Harvey', 'J', 'Berger', 'MD', 'headquartered', 'Cambridge', 'Massachusetts', 'ARIAD', 'engaged', 'discovery', 'development', 'commercialization', 'medicines', 'cancer', 'patientsARIAD', '’', 'prominent', 'drug', 'discoveries', 'include', 'Iclusig', 'designed', 'patients', 'forms', 'Philadelphia', 'chromosome-positive', '[', 'Ph+', ']', 'chronic', 'myeloid', 'leukemia', '(', 'CML', ')', 'Ph+', 'acute', 'lymphoblastic', 'leukemia', '(', 'ALL', ')', 'resistant', 'unable', 'tolerate', 'tyrosine', 'kinase', 'inhibitors', 'brigatinib', 'lung', 'cancer', 'drug', 'completed', 'registration', 'trial', 'ALK', 'fusion', 'driven', 'non-small', 'cell', 'lung', 'cancer', 'June', '2016', 'approved', 'US', 'April', '2017In', 'January', '2017', 'Takeda', 'announced', 'would', 'acquire', 'ARIAD', '$', '52', 'billion', 'expanding', 'company', ""'s"", 'oncology', 'hematology', 'business', 'On', 'February', '16', '2017', 'Takeda', 'Pharmaceuticals', 'Ltd', 'announced', 'completed', 'acquisition', 'ARIAD', 'incorporated', 'ARIAD', 'Takeda', 'Oncology']",110
5,"['AbbVie', 'American', 'publicly', 'traded', 'biopharmaceutical', 'company', 'founded', '2013', 'It', 'originated', 'spin-off', 'Abbott', 'Laboratories']",13
6,"['Abbott', 'Laboratories', 'American', 'multinational', 'medical', 'devices', 'health', 'care', 'company', 'headquarters', 'Abbott', 'Park', 'Illinois', 'United', 'States', 'The', 'company', 'founded', 'Chicago', 'physician', 'Wallace', 'Calvin', 'Abbott', '1888', 'formulate', 'known', 'drugs', ';', 'today', 'sells', 'medical', 'devices', 'diagnostics', 'branded', 'generic', 'medicines', 'nutritional', 'products', 'It', 'split', 'research-based', 'pharmaceuticals', 'business', 'AbbVie', '2013Among', 'well-known', 'products', 'across', 'medical', 'devices', 'diagnostics', 'nutrition', 'product', 'divisions', 'Pedialyte', 'Similac', 'Ensure', 'Glucerna', 'ZonePerfect', 'FreeStyle', 'Libre', 'i-STAT', 'MitraClip']",63
7,"['Acadia', 'Pharmaceuticals', 'Inc', 'biopharmaceutical', 'company', 'headquartered', 'Sorrento', 'Valley', 'San', 'Diego', 'California']",11
8,"['Acorda', 'Therapeutics', 'Inc', 'American', 'biotechnology', 'company', 'based', 'Ardsley', 'New', 'York', 'The', 'company', 'develops', 'therapies', 'improve', 'neurological', 'function', 'people', 'Parkinson', '’', 'disease', 'multiple', 'sclerosis', 'neurological', 'disorders', 'Acorda', 'Therapeutics', 'manufactures', 'markets', 'drugs', 'Inbrija', '(', 'levodopa', 'inhalation', 'powder', ')', 'Ampyra', '(', 'dalfampridine', ')', 'United', 'States']",42
9,"['Actavis', 'Generics', '(', 'formerly', 'known', 'Watson', 'Pharmaceuticals', 'Actavis', 'plc', 'prior', 'acquisition', 'Irish-based', 'Allergan', 'Inc', ')', 'global', 'pharmaceutical', 'company', 'focused', 'acquiring', 'developing', 'manufacturing', 'marketing', 'branded', 'pharmaceuticals', 'generic', 'over-the-counter', 'medicines', 'biologic', 'products', 'Actavis', 'commercial', 'presence', 'across', 'approximately', '100', 'countries', 'The', 'company', 'global', 'headquarters', 'Dublin', 'Ireland', 'administrative', 'headquarters', 'Parsippany-Troy', 'Hills', 'New', 'Jersey', 'United', 'StatesActavis', 'PLC', 'markets', 'brand', 'products', 'six', 'franchises', 'key', 'therapeutic', 'categories', 'including', ':', 'Aesthetics/Dermatology/Plastic', 'Surgery', ';', 'Neurosciences/CNS', ';', 'Eye', 'Care', ';', 'Women', ""'s"", 'Health', 'Urology', ';', 'GI', 'Cystic', 'Fibrosis', ';', 'Cardiovascular', 'Disease', 'Infectious', 'Disease', 'The', 'company', ""'s"", 'products', 'include', 'Botox', 'Namenda', 'Restasis', 'Linzess', 'Bystolic', 'Juvederm', 'Latisse', 'Lo', 'Loestrin', 'Fe', 'Estrace', 'Teflaro', 'Dalvance', 'Ozurdex', 'Optive', 'Natrelle', 'Viibryd', 'Liletta', 'Saphris', 'Enablex', 'Actonel', 'Androderm', 'Gelnique', 'othersActavis', 'PLC', 'also', 'operates', 'world', ""'s"", 'third-largest', 'generics', 'business', 'The', 'company', 'ranked', 'top', '3', '12', 'global', 'markets', 'top', '5', '16', 'global', 'markets', 'top', '10', '33', 'global', 'markets', 'Actavis', 'also', 'develops', 'out-licenses', 'generic', 'pharmaceutical', 'products', 'outside', 'US', 'Medis', 'third-party', 'business', 'world', ""'s"", 'largest', 'generic', 'pharmaceutical', 'out-licensing', 'business', 'Medis', '300', 'customers', 'globally', 'offers', '200', 'products', 'Actavis', 'PLC', 'also', 'developing', 'biosimilars', 'products', 'oncology', 'therapeutic', 'categories', 'currently', 'five', 'biosimilar', 'products', 'development', 'Actavis', 'PLC', '40', 'manufacturing', 'distribution', 'facilities', 'around', 'world', 'capacity', 'approximately', '40', 'billion', 'units', 'annually', 'Actavis', 'Global', 'Operations', 'also', 'included', 'Anda', 'Inc', 'fourth-largest', 'US', 'generic', 'pharmaceutical', 'product', 'distributor', 'United', 'StatesOn', 'June', '15', '2015', 'Actavis', 'plc', 'changed', 'name', 'Allergan', 'plc', 'company', ""'s"", 'US', 'Canadian', 'generics', 'business', 'continue', 'operate', 'Actavis', 'name', 'In', 'July', '2015', 'Allergan', 'PLC', 'announced', 'would', 'sell', 'Generics', 'division', 'company', 'including', 'Anda', 'Inc', 'Teva', 'Pharmaceuticals', '$', '405', 'billion', 'transaction', 'proposed', 'completion', 'first', 'quarter', '2016']",251
