,Articles,Cosine similarity,url
0,3M Pharmaceuticals,0.038135135,https://en.wikipedia.org/wiki/3M
1,AAH Pharmaceuticals,0.010351351,https://en.wikipedia.org/wiki/AAH_Pharmaceuticals
2,ACG Group,0.002162162,https://en.wikipedia.org/wiki/ACG_Group
3,ALK-Abelló,0.001972973,https://en.wikipedia.org/wiki/ALK-Abell%C3%B3
4,ARIAD Pharmaceuticals,0.035459459,https://en.wikipedia.org/wiki/ARIAD_Pharmaceuticals
5,AbbVie Inc.,0.005972973,https://en.wikipedia.org/wiki/AbbVie
6,Abbott Laboratories,0.023135135,https://en.wikipedia.org/wiki/Abbott_Laboratories
7,Acadia Pharmaceuticals,0.004783784,https://en.wikipedia.org/wiki/Acadia_Pharmaceuticals
8,Acorda Therapeutics,0.017918919,https://en.wikipedia.org/wiki/Acorda_Therapeutics
9,Actavis,0.000864865,https://en.wikipedia.org/wiki/Actavis
10,Actelion,0.050081081,https://en.wikipedia.org/wiki/Actelion
11,Adcock Ingram,0,https://en.wikipedia.org/wiki/Adcock_Ingram
12,Aderis Pharmaceuticals,0.042405405,https://en.wikipedia.org/wiki/Aderis_Pharmaceuticals
13,Adolor Corporation,0.005108108,https://en.wikipedia.org/wiki/Cubist_Pharmaceuticals
14,Advanced Chemical Industries (ACI),0.00372973,https://en.wikipedia.org/wiki/ACI_Limited
15,Advanz Pharma,0.002972973,https://en.wikipedia.org/wiki/Advanz_Pharma
16,Advaxis,0.003648649,https://en.wikipedia.org/wiki/Advaxis
17,Ajanta Pharma,0.023918919,https://en.wikipedia.org/wiki/Ajanta_Pharma
18,Alcon,0.011675676,https://en.wikipedia.org/wiki/Alcon
19,Alembic Pharmaceuticals Ltd,0.091540541,https://en.wikipedia.org/wiki/Alembic_Pharmaceuticals
20,Alexion Pharmaceuticals,0.020945946,https://en.wikipedia.org/wiki/Alexion_Pharmaceuticals
21,Alkaloid (company),0.002540541,https://en.wikipedia.org/wiki/Alkaloid_(company)
22,Alkermes (company),0.006567568,https://en.wikipedia.org/wiki/Alkermes_(company)
23,Allen & Hanburys,0.015081081,https://en.wikipedia.org/wiki/Allen_%26_Hanburys
24,Allergan,0.006621622,https://en.wikipedia.org/wiki/Allergen
25,"Allergan, Inc.",0.001027027,"https://en.wikipedia.org/wiki/Allergan,_Inc."
26,Almirall,0,https://en.wikipedia.org/wiki/Admiral
27,Alnylam Pharmaceuticals,0.001864865,https://en.wikipedia.org/wiki/Alnylam_Pharmaceuticals
28,Alphapharm,0,https://en.wikipedia.org/wiki/Alphapharm
29,Altana,0.018702703,https://en.wikipedia.org/wiki/Altana
30,Alza,0.012513514,https://en.wikipedia.org/wiki/Alza
31,Alzheon,0.009567568,https://en.wikipedia.org/wiki/Alzheon
32,American Pharmacists Association,0.039864865,https://en.wikipedia.org/wiki/American_Pharmacists_Association
33,Amersham plc,0.045054054,https://en.wikipedia.org/wiki/Amersham_plc
34,Amneal Pharmaceuticals,0.00127027,https://en.wikipedia.org/wiki/Amneal_Pharmaceuticals
35,Amylin Pharmaceuticals,0.001702703,https://en.wikipedia.org/wiki/Amylin_Pharmaceuticals
36,Anacor,0.006378378,https://en.wikipedia.org/wiki/Anacor
37,Anatomy of an Epidemic,0.051918919,https://en.wikipedia.org/wiki/Anatomy_of_an_Epidemic
38,Antibody Solutions,0.012783784,https://en.wikipedia.org/wiki/Antibody_Solutions
39,Apotex,0.001243243,https://en.wikipedia.org/wiki/Apotex
40,Aptalis,0.003108108,https://en.wikipedia.org/wiki/Aptalis
41,Arbutus Biopharma,0.002135135,https://en.wikipedia.org/wiki/Arbutus_Biopharma
42,AryoGen,0.007972973,https://en.wikipedia.org/wiki/AryoGen
43,Aspen Pharmacare,0.007486486,https://en.wikipedia.org/wiki/Aspen_Pharmacare
44,Assertio Therapeutics,0.046594595,https://en.wikipedia.org/wiki/Assertio_Therapeutics
45,Astellas Pharma,0.001162162,https://en.wikipedia.org/wiki/Astellas_Pharma
46,AstraZeneca,0.051378378,https://en.wikipedia.org/wiki/AstraZeneca
47,Astra AB,0.005297297,https://en.wikipedia.org/wiki/Astra_AB
48,Aurobindo Pharma,0.058918919,https://en.wikipedia.org/wiki/Aurobindo_Pharma
49,Avax Technologies,0.052297297,https://en.wikipedia.org/wiki/Avax_Technologies
50,Avella Specialty Pharmacy,0.025324324,https://en.wikipedia.org/wiki/Avella_Specialty_Pharmacy
51,Aventis Pharma,0.010702703,https://en.wikipedia.org/wiki/Sanofi
52,B. Braun Melsungen,0.005756757,https://en.wikipedia.org/wiki/B._Braun
53,BCM (Fareva),0.023108108,https://en.wikipedia.org/wiki/BCM_(Fareva)
54,BTG plc,0.019162162,https://en.wikipedia.org/wiki/BTG_(company)
55,Bad Pharma,0,https://en.wikipedia.org/wiki/Bad_Pharma
56,Bargn Farmaceutici Phils Co,0.10927027,https://en.wikipedia.org/wiki/Bargn_Farmaceutici_Phils_Co
57,Barr Pharmaceuticals,0.005513514,https://en.wikipedia.org/wiki/Barr_Pharmaceuticals
58,Bausch & Lomb,0.069243243,https://en.wikipedia.org/wiki/Bausch_%26_Lomb
59,Bausch Health,0.021378378,https://en.wikipedia.org/wiki/Bausch_Health
60,Baxalta,0.007216216,https://en.wikipedia.org/wiki/Baxalta
61,Baxter International,0.020108108,https://en.wikipedia.org/wiki/Baxter_International
62,Bayer,0,https://en.wikipedia.org/wiki/Bayer
63,Beer and breweries by region,0,https://en.wikipedia.org/wiki/Beer_and_breweries_by_region
64,Benitec Biopharma,0.02572973,https://en.wikipedia.org/wiki/Benitec_Biopharma
